Destination IP,Source IP (Unique Count),Destination Port (Unique Count),Event Name (Unique Count),Log Source (Unique Count),Low Level Category (Unique Count),Protocol (Unique Count),Username (Unique Count),Magnitude (Maximum),Event Count (Sum),Source Geographic Country/Region (Unique Count),Count
192.150.19.174,"Multiple (243,605)",Multiple (3),Multiple (2),Juniper JunOS Platform @ sjc-inetfw,Multiple (2),Multiple (2),None,6,"861,022",Multiple (4),"861,022"
192.150.19.183,"Multiple (61,944)",443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,"183,547",Multiple (4),"183,547"
192.150.14.154,Multiple (552),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,"7,610",Multiple (2),"7,610"
192.150.19.202,Multiple (156),80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,"3,215",Multiple (3),"3,215"
192.147.130.43,Multiple (273),443,Traffic Close,PaSeries @ or1-PA-fefw1,Firewall Session Closed,tcp_ip,None,3,"1,602",Multiple (2),"1,602"
192.147.130.48,Multiple (185),Multiple (2),Traffic Close,PaSeries @ or1-PA-fefw1,Firewall Session Closed,tcp_ip,None,3,"1,351",Multiple (2),"1,351"
192.150.19.157,Multiple (771),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,"1,193",Multiple (2),"1,193"
192.147.130.54,Multiple (103),Multiple (2),Multiple (2),PaSeries @ or1-PA-fefw1,Multiple (2),tcp_ip,None,4,830,Multiple (2),830
192.150.19.119,Multiple (96),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,534,Multiple (2),534
192.150.11.122,Multiple (160),443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,325,Multiple (2),325
192.150.14.56,Multiple (53),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,230,Multiple (2),230
192.150.19.152,Multiple (18),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,158,China,158
