IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
192.150.14.86,443,"HTTP/1.0 302 Found
Location: http://unavailable.adobe.com/
Connection: close

",2016-10-17T22:27:28.902181,licensing-sjc0.stage.adobe.com,United States,,,Adobe Systems
192.150.14.86,80,"HTTP/1.0 302 Found
Location: https://192.150.14.86/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-17T22:27:23.663893,licensing-sjc0.stage.adobe.com,United States,,,Adobe Systems
192.150.13.92,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: 76bb51435332d360
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 108",2016-10-17T20:17:07.514426,asa-sanjose-ext.adobe.com,United States,,,Adobe Systems
216.104.208.40,80,"HTTP/1.1 403 Forbidden
Date: Mon, 17 Oct 2016 16:57:03 GMT
Server: Apache/2.2.15 (CentOS)
Accept-Ranges: bytes
Content-Length: 4958
Connection: close
Content-Type: text/html; charset=UTF-8

",2016-10-17T16:57:07.243190,sj1216104208040.adobeitc.com,United States,San Jose,,Adobe Systems
216.104.208.166,443,"HTTP/1.1 200 OK
Date: Mon, 17 Oct 2016 12:23:19 GMT
Server: Apache-Coyote/1.1
Accept-Ranges: bytes
ETag: W/""1551-1459363502000""
Last-Modified: Wed, 30 Mar 2016 18:45:02 GMT
Content-Type: text/html
Content-Length: 1551

",2016-10-17T12:23:30.122351,sj1216104208166.adobeitc.com,United States,San Jose,,Adobe Systems
216.104.208.168,80,"HTTP/1.1 200 OK
Content-Type: text/html
Last-Modified: Tue, 13 Sep 2016 13:45:24 GMT
Accept-Ranges: bytes
ETag: ""f9432114c5dd21:0""
Server: Microsoft-IIS/8.5
Date: Mon, 17 Oct 2016 10:54:00 GMT
Content-Length: 701

",2016-10-17T10:54:01.223817,sj1216104208168.adobeitc.com,United States,San Jose,,Adobe Systems
192.150.19.34,443,"HTTP/1.0 302 Found
Location: http://unavailable.adobe.com/accessdenied.html
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-17T09:26:04.663615,activate-sj1.adobe.com,United States,,,Adobe Systems
192.150.13.90,80,"HTTP/1.0 302 Temporary moved
Content-Length: 0
Cache-Control: no-cache
Pragma: no-cache
Connection: Close
Date: Mon, 17 Oct 2016 05:22:06 GMT
X-Frame-Options: SAMEORIGIN
Location: https://192.150.13.90/

",2016-10-17T05:22:08.582025,asa-sanjose.adobe.com,United States,,,Adobe Systems
192.150.19.76,21,"220-Copyright (c) 2001-2011 Isilon Systems LLC.  All rights reserved. Isilon and
220-Isilon Systems are registered trademarks of Isilon Systems LLC.
220-
220-Isilon OneFS v6.5.4.17
220 
530 Login incorrect.
530 Please login with USER and PASS.
211-Features:
 AUTH SSL
 AUTH TLS
 EPRT
 EPSV
 MDTM
 PASV
 PBSZ
 PROT
 REST STREAM
 SIZE
 TVFS
 UTF8
211 End",2016-10-17T02:28:24.167237,sjftp.adobe.com,United States,,,Adobe Systems
192.150.13.65,500,"VPN (IKE)

Initiator SPI: e5f858a0876af576
Responder SPI: 57cb41b66348664c
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 108",2016-10-17T01:06:54.577654,asa-sanjose-ext.adobe.com,United States,,PIX OS 7.0.x,Adobe Systems
