IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
63.140.35.162,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:44:35 GMT
Server: Omniture DC/2.0.0
xserver: www630
Transfer-Encoding: chunked
Content-Type: text/html

",2016-11-02T03:45:00.566750,,United States,Lehi,,Adobe Systems
66.235.143.171,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:44:00 GMT
Server: Apache/2.2.15 (CentOS)
Set-Cookie: adobe_developer_connection=bit32un72p2d858rbf90kg19t6; path=/; domain=66.235.143.171; secure; HttpOnly
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
X-Frame-Options: DENY
Strict-Transport-Security: max-age=31536000
xserver: cpt55.da2.omniture.com
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

",2016-11-02T03:44:07.491230,,United States,Lehi,,Adobe Systems
63.140.51.9,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:40:36 GMT
Server: Omniture DC/2.0.0
xserver: www31
Content-Length: 0
Content-Type: text/html

",2016-11-02T03:40:53.002904,quikshiptoner.com.ssl.sc.omtrdc.net,United States,Lehi,,Adobe Systems
66.235.139.19,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:40:18 GMT
Server: Omniture DC/2.0.0
xserver: www465
Transfer-Encoding: chunked
Content-Type: text/html

",2016-11-02T03:40:50.984499,,United States,Lehi,,Adobe Systems
192.243.238.118,443,"HTTP/1.1 403 Forbidden
Cache-Control:no-cache
Content-Type:text/html
Content-Length:39

",2016-11-02T03:40:48.679776,,United States,Lehi,,Adobe Systems
66.235.146.126,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:39:51 GMT
Server: Omniture DC/2.0.0
xserver: www35
Transfer-Encoding: chunked
Content-Type: text/html

",2016-11-02T03:40:27.936213,falabella.com.co.ssl.d2.sc.omtrdc.net,United States,Lehi,,Adobe Systems
192.243.224.155,443,"HTTP/1.1 403 Forbidden
Cache-Control:no-cache
Content-Type:text/html
Content-Length:39

",2016-11-02T03:38:59.848635,OR1DPU2155.insight.omniture.com,United States,Lehi,,Adobe Systems
192.243.250.72,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:38:28 GMT
Server: Omniture DC/2.0.0
xserver: www2541
Transfer-Encoding: chunked
Content-Type: text/html

",2016-11-02T03:38:51.205706,,United States,Lehi,,Adobe Systems
216.104.218.67,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:36:36 GMT
Server: Omniture DC/2.0.0
xserver: www169
Content-Length: 0
Content-Type: text/html

",2016-11-02T03:36:47.916256,,United States,San Jose,,Adobe Systems
66.235.149.31,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:36:37 GMT
Server: Omniture DC/2.0.0
xserver: www94
Content-Length: 0
Content-Type: text/html

",2016-11-02T03:36:45.679145,stevenspointjournal.com.ssl.d1.sc.omtrdc.net,United States,Lehi,,Adobe Systems
66.235.139.19,80,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:36:32 GMT
Server: Omniture DC/2.0.0
xserver: www343
Transfer-Encoding: chunked
Content-Type: text/html

",2016-11-02T03:36:37.224249,,United States,Lehi,,Adobe Systems
63.140.51.185,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:35:54 GMT
Server: Omniture DC/2.0.0
xserver: www30
Content-Length: 0
Content-Type: text/html

",2016-11-02T03:36:07.022520,libresse.ro.ssl.sc.omtrdc.net,United States,Lehi,,Adobe Systems
66.235.138.193,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:35:26 GMT
Server: Omniture DC/2.0.0
xserver: www75
Transfer-Encoding: chunked
Content-Type: text/html

",2016-11-02T03:35:50.324622,,United States,Lehi,,Adobe Systems
63.140.63.211,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:35:25 GMT
Server: Omniture DC/2.0.0
xserver: www1061
Content-Length: 0
Content-Type: text/html

",2016-11-02T03:35:30.667140,houseoffraser.co.uk.ssl.sc.omtrdc.net,United States,Lehi,,Adobe Systems
66.117.27.199,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 03:34:38 GMT
Server: Omniture DC/2.0.0
xserver: www17
Content-Length: 0
Content-Type: text/html

",2016-11-02T03:34:39.311024,,United States,Lehi,,Adobe Systems
